Year,City,Sport,Athlete,Country,Gender,Event,Medal,,
1932,Lake Placid,Bobsleigh,"MARTIN, Harry G",USA,Men,Two-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"MINTON, Robert",USA,Men,Two-Man,Bronze,,
1932,Lake Placid,Bobsleigh,"STEVENS, J. Hubert",USA,Men,Two-Man,Bronze,,
1932,Lake Placid,Skating,"VINSON, Maribel",USA,Women,Individual,Bronze,,
1936,Garmisch Partenkirchen,Skating,"KASPAR, Felix",AUT,Men,Individual,Bronze,,
1936,Garmisch Partenkirchen,Skating,"STIEPL, Max",AUT,Men,10000M,Bronze,,
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,1500M,Bronze,,
1936,Garmisch Partenkirchen,Skating,"OJALA, Antero",FIN,Men,5000M,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"NIEMI, Pekka",FIN,Men,18KM,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"ALLAIS, Emile",FRA,Men,Alpine Combined,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"CARDNO, James Farquhar",GBR,Men,Four-Man,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"DUGDALE, Gary",GBR,Men,Four-Man,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"GREEN, Charles Patrick",GBR,Men,Four-Man,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"MCEVOY, Frederick James",GBR,Men,Four-Man,Bronze,,
1936,Garmisch Partenkirchen,Skating,"ROTTER, Emilia",HUN,Women,Pairs,Bronze,,
1936,Garmisch Partenkirchen,Skating,"SZOLLAS, Laszlo",HUN,Men,Pairs,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"SCHOU-NILSEN, Laila",NOR,Women,Alpine Combined,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"BRODAHL, Sverre",NOR,Men,Individual,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"ANDERSEN, Reidar",NOR,Men,K90 Individual (70M),Bronze,,
1936,Garmisch Partenkirchen,Skating,"HULTEN, Vivi-Anne",SWE,Women,Individual,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"BERGER, John",SWE,Men,4X10KM Relay,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"HeGGBLAD, Artur",SWE,Men,4X10KM Relay,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"LARSSON, Erik August",SWE,Men,4X10KM Relay,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"MATSBO, Martin",SWE,Men,4X10KM Relay,Bronze,,
1936,Garmisch Partenkirchen,Skiing,"ENGLUND, Nils-Joel",SWE,Men,50KM,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"COLGATE, Gilbert",USA,Men,Two-Man,Bronze,,
1936,Garmisch Partenkirchen,Bobsleigh,"LAWRENCE, Richard Webster",USA,Men,Two-Man,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"KAMMER, August",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"LA BATTE, Philip William",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"LAX, John Charles",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"MOONE, Thomas",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"ROSS, Eldridge Baker",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"ROWE, Paul Edward",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"SHAUGHNESSY, Francis John",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"SPAIN, Francis Jones",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Ice Hockey,"STUBBS, Frank Raymond",USA,Men,Ice Hockey,Bronze,,
1936,Garmisch Partenkirchen,Skating,"FREISINGER, Leo",USA,Men,500M,Bronze,,
1948,St.Moritz,Skating,"RADA, Edi",AUT,Men,Individual,Bronze,,
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Alpine Combined,Bronze,,
1948,St.Moritz,Skiing,"HAMMERER, Resi",AUT,Women,Downhill,Bronze,,
1948,St.Moritz,Skiing,"MAHRINGER, Erika",AUT,Women,Slalom,Bronze,,
1948,St.Moritz,Skating,"DIESTELMEYER, Wallace",CAN,Men,Pairs,Bronze,,
1948,St.Moritz,Skating,"MORROW, Suzanne",CAN,Women,Pairs,Bronze,,
1948,St.Moritz,Skating,"LAMMIO, Pentti",FIN,Men,10000M,Bronze,,
1948,St.Moritz,Skiing,"VANNINEN, Benjamin",FIN,Men,50KM,Bronze,,
1948,St.Moritz,Skiing,"COUTTET, James",FRA,Men,Alpine Combined,Bronze,,
1948,St.Moritz,Skiing,"OREILLER, Henri",FRA,Men,Slalom,Bronze,,
1948,St.Moritz,Bobsleigh,"CRAMMOND, John",GBR,Men,Individual,Bronze,,
1948,St.Moritz,Skating,"ALTWEGG, Jeannette",GBR,Women,Individual,Bronze,,
1948,St.Moritz,Skating,"LUNDBERG, Odd",NOR,Men,1500M,Bronze,,
1948,St.Moritz,Skiing,"EVENSEN, Erling",NOR,Men,4X10KM Relay,Bronze,,
1948,St.Moritz,Skiing,"HAGEN, Olav I.",NOR,Men,4X10KM Relay,Bronze,,
1948,St.Moritz,Skiing,"NYBORG, Reidar",NOR,Men,4X10KM Relay,Bronze,,
1948,St.Moritz,Skiing,"e_KERN, Olav",NOR,Men,4X10KM Relay,Bronze,,
1948,St.Moritz,Skiing,"SCHJELDERUP, Thorleif",NOR,Men,K90 Individual (70M),Bronze,,
1948,St.Moritz,Ice Hockey,"BeNNINGER, Hans",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"BIELER, Alfred",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"BOLLER, Heinrich",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"CATTINI, Ferdinand",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"CATTINI, Hans",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"DeeRST, Hans",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"DeeRST, Walter Paul",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"HANDSCHIN, Emil",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"LOHRER, Heini",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"LOHRER, Werner",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"PERL, Reto",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"POLTERA, Gebhard",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"POLTERA, Ulrich",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"ReeEDI, Beat",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"SCHUBIGER, Otto",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"TORRIANI, Richard",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Ice Hockey,"TREPP, Hans",SUI,Men,Ice Hockey,Bronze,,
1948,St.Moritz,Skiing,"MOLITOR, Karl",SUI,Men,Downhill,Bronze,,
1948,St.Moritz,Skiing,"OLINGER, Rolf",SUI,Men,Downhill,Bronze,,
1948,St.Moritz,Skating,"HEDLUND, Ge_the",SWE,Men,5000M,Bronze,,
1948,St.Moritz,Skiing,"ERIKSSON, Gunnar",SWE,Men,18KM,Bronze,,
1948,St.Moritz,Skiing,"ISRAELSSON, Sven",SWE,Men,Individual,Bronze,,
1948,St.Moritz,Bobsleigh,"BICKFORD, James John",USA,Men,Four-Man,Bronze,,
1948,St.Moritz,Bobsleigh,"DUPREE, Donald",USA,Men,Four-Man,Bronze,,
1948,St.Moritz,Bobsleigh,"DUPREE, William",USA,Men,Four-Man,Bronze,,
1948,St.Moritz,Bobsleigh,"HICKS, Thomas",USA,Men,Four-Man,Bronze,,
1948,St.Moritz,Bobsleigh,"CARRON, Schuyler",USA,Men,Two-Man,Bronze,,
1948,St.Moritz,Bobsleigh,"FORTUNE, Frederick Joseph",USA,Men,Two-Man,Bronze,,
1952,Oslo,Skiing,"PRAVDA, Christian",AUT,Men,Downhill,Bronze,,
1952,Oslo,Skiing,"SPIESS, Toni",AUT,Men,Giant Slalom,Bronze,,
1952,Oslo,Skating,"AUDLEY, Gordon",CAN,Men,500M,Bronze,,
1952,Oslo,Skiing,"RANTANEN, Siiri",FIN,Women,10KM,Bronze,,
1952,Oslo,Skiing,"LONKILA, Paavo",FIN,Men,18KM,Bronze,,
1952,Oslo,Skating,"DU BIEF, Jacqueline",FRA,Women,Individual,Bronze,,
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Giant Slalom,Bronze,,
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Slalom,Bronze,,
1952,Oslo,Skating,"NAGY, Laszlo",HUN,Men,Pairs,Bronze,,
1952,Oslo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze,,
1952,Oslo,Skiing,"MINUZZO CHENAL, Giuliana",ITA,Women,Downhill,Bronze,,
1952,Oslo,Skating,"AAS, Roald",NOR,Men,1500M,Bronze,,
1952,Oslo,Skating,"HAUGLI, Sverre",NOR,Men,5000M,Bronze,,
1952,Oslo,Skating,"JOHANSEN, Arne",NOR,Men,500M,Bronze,,
1952,Oslo,Skiing,"BERGE, Guttorm",NOR,Men,Slalom,Bronze,,
1952,Oslo,Skiing,"ESTENSTAD, Magnar",NOR,Men,50KM,Bronze,,
1952,Oslo,Skiing,"STENERSEN, Sverre",NOR,Men,Individual,Bronze,,
1952,Oslo,Bobsleigh,"FEIERABEND, Fritz",SUI,Men,Four-Man,Bronze,,
1952,Oslo,Bobsleigh,"FILIPPINI, Andre",SUI,Men,Four-Man,Bronze,,
1952,Oslo,Bobsleigh,"MADe_RIN, Albert",SUI,Men,Four-Man,Bronze,,
1952,Oslo,Bobsleigh,"WASER, Stephan",SUI,Men,Four-Man,Bronze,,
1952,Oslo,Bobsleigh,"FEIERABEND, Fritz",SUI,Men,Two-Man,Bronze,,
1952,Oslo,Bobsleigh,"WASER, Stephan",SUI,Men,Two-Man,Bronze,,
1952,Oslo,Ice Hockey,"ALMQVIST, Ge_te",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"ANDERSSON, Ake",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"ANDERSSON-TVILLING, Hans Lennart",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"ANDERSSON-TVILLING, Stig Gunnar",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"BJe_RN, Lars Gunnar",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"BLOMQVIST, G퀌_te",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"FLODQVIST, Thord",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"JOHANSSON, Erik",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"JOHANSSON, Ge_sta",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"JOHANSSON, Rune",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"JOHANSSON-TUMBA, Sven Olof",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"LASSAS, Erik Ake",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"NURMELA, Holger",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"e_BERG, Hans Andreas",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"PETTERSSON, Lars",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"SVENSSON, Lars Ake",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Ice Hockey,"THUNMAN, Sven",SWE,Men,Ice Hockey,Bronze,,
1952,Oslo,Skating,"ASPLUND, Carl-Erik",SWE,Men,10000M,Bronze,,
1952,Oslo,Skiing,"ANDERSSON, Sigurd",SWE,Men,4X10KM Relay,Bronze,,
1952,Oslo,Skiing,"JOSEFSSON, Enar",SWE,Men,4X10KM Relay,Bronze,,
1952,Oslo,Skiing,"LUNDSTRe_M, Martin",SWE,Men,4X10KM Relay,Bronze,,
1952,Oslo,Skiing,"TePP, Nils",SWE,Men,4X10KM Relay,Bronze,,
1952,Oslo,Skiing,"HOLMSTRe_M, Karl",SWE,Men,K90 Individual (70M),Bronze,,
1952,Oslo,Skating,"GROGAN, James",USA,Men,Individual,Bronze,,
1956,Cortina d'Ampezzo,Skating,"WENDL, Ingrid",AUT,Women,Individual,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"MOLTERER, Andreas",AUT,Men,Downhill,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"SCHUSTER, Walter",AUT,Men,Giant Slalom,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"HOCHLEITNER, Dorothea",AUT,Women,Giant Slalom,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"BRODEUR, Denis",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"BROOKER, Charles",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"COLVIN, William",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"HORNE, Alfred James",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"HURST, Arthur",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"KLINCK, Byrle",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"KNOX, Paul",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"LAUFMAN, Kenneth",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"LEE, Howard Stewart",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"LOGAN, James",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"MARTIN, Floyd",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"MCKENZIE, John A.",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"ROPE, Donald",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"SCHOLES, George",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"THEBERGE, Gerry",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"WHITE, Robert",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Ice Hockey,"WOODALL, Keith Eugene",CAN,Men,Ice Hockey,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"WHEELER, Lucile",CAN,Women,Downhill,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"GLASS, Harry",EUA,Men,K90 Individual (70M),Bronze,,
1956,Cortina d'Ampezzo,Skating,"SALONEN, Toivo",FIN,Men,1500M,Bronze,,
1956,Cortina d'Ampezzo,Skating,"NAGY, Laszlo",HUN,Men,Pairs,Bronze,,
1956,Cortina d'Ampezzo,Skating,"NAGY, Marianna",HUN,Women,Pairs,Bronze,,
1956,Cortina d'Ampezzo,Skating,"GJESTVANG, Alv",NOR,Men,500M,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"GASIENICA-GRON, Franciszek",POL,Men,Individual,Bronze,,
1956,Cortina d'Ampezzo,Bobsleigh,"ANGST, Max",SUI,Men,Two-Man,Bronze,,
1956,Cortina d'Ampezzo,Bobsleigh,"WARBURTON, Harry",SUI,Men,Two-Man,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"SOLLANDER, Stig",SWE,Men,Slalom,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,10KM,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"EDSTRe_M, Sonja",SWE,Women,3X5KM Relay,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"ERIKSSON, Anna Lisa",SWE,Women,3X5KM Relay,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"JOHANSSON, Irma",SWE,Women,3X5KM Relay,Bronze,,
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,4X10KM Relay,Bronze,,
