Year,City,Sport,Athlete,Country,Gender,Event,Medal,,
1924,Chamonix,Curling,"PETERSEN, C.-W.",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"PETTERSSON, C.-A.-F.",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"SEVERIN, E.-O.",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"WAHLBERG, K.-E.",SWE,Men,Curling,Silver,,
1924,Chamonix,Curling,"WETTERSTROM, V.-E.",SWE,Men,Curling,Silver,,
1924,Chamonix,Ice Hockey,"ABEL, Clarence John",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"DRURY, Herbert L.",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"GERAN, N.",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"LACROIX, Alphonse",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"LANGLEY, John Arthur",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"LYONS, John Sharkey",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"MAC CARTHY, Justin",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"RICE, Willard",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"SMALL, Irving Wheeler",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Ice Hockey,"SYNNOTT, Francis Allen",USA,Men,Ice Hockey,Silver,,
1924,Chamonix,Skating,"LOUGHRAN, Beatrix",USA,Women,Individual,Silver,,
1928,St.Moritz,Skating,"Be_CKL, Willy",AUT,Men,Individual,Silver,,
1928,St.Moritz,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver,,
1928,St.Moritz,Skating,"KAISER, Otto",AUT,Men,Pairs,Silver,,
1928,St.Moritz,Skating,"SCHOLZ, Lilly",AUT,Women,Pairs,Silver,,
1928,St.Moritz,Skating,"SKUTNABB, Julius",FIN,Men,5000M,Silver,,
1928,St.Moritz,Skating,"EVENSEN, Bernt",NOR,Men,1500M,Silver,,
1928,St.Moritz,Skiing,"HEGGE, Ole",NOR,Men,18KM,Silver,,
1928,St.Moritz,Skiing,"VINJARENGEN, Hans",NOR,Men,Individual,Silver,,
1928,St.Moritz,Skiing,"RUUD, Sigmund",NOR,Men,K90 Individual (70M),Silver,,
1928,St.Moritz,Ice Hockey,"ABRAHAMSSON, Carl",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"BERGMAN, Emil",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"HOLMQVIST, Birger",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"JOHANSSON, Gustaf",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"JOHANSSON, Henry",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"JOHANSSON, Nils",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"KARLBERG, Ernst",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"LARSSON, Erik",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"LINDE, Bertil",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"e_BERG, Sigfrid",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"PETERSEN, Wilhelm",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Ice Hockey,"SUCKSDORFF, Kurt",SWE,Men,Ice Hockey,Silver,,
1928,St.Moritz,Skiing,"JONSSON, Gustav",SWE,Men,50KM,Silver,,
1928,St.Moritz,Bobsleigh,"DOE, Thomas",USA,Men,Five-Man,Silver,,
1928,St.Moritz,Bobsleigh,"GRANGER, David",USA,Men,Five-Man,Silver,,
1928,St.Moritz,Bobsleigh,"HEATON, Jennison",USA,Men,Five-Man,Silver,,
1928,St.Moritz,Bobsleigh,"HINE, Lyman",USA,Men,Five-Man,Silver,,
1928,St.Moritz,Bobsleigh,"O'BRIEN, Jay James",USA,Men,Five-Man,Silver,,
1928,St.Moritz,Bobsleigh,"HEATON, John",USA,Men,Individual,Silver,,
1932,Lake Placid,Skating,"BURGER, Fritzi",AUT,Women,Individual,Silver,,
1932,Lake Placid,Skating,"HURD, Alexander",CAN,Men,1500M,Silver,,
1932,Lake Placid,Skiing,"LIIKKANEN, Ve_ine_",FIN,Men,50KM,Silver,,
1932,Lake Placid,Skating,"BALLANGRUD, Ivar",NOR,Men,10000M,Silver,,
1932,Lake Placid,Skating,"EVENSEN, Bernt",NOR,Men,500M,Silver,,
1932,Lake Placid,Skiing,"STENEN, Ole",NOR,Men,Individual,Silver,,
1932,Lake Placid,Skiing,"BECK, Hans",NOR,Men,K90 Individual (70M),Silver,,
1932,Lake Placid,Bobsleigh,"CAPADRUTT, Reto",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"FONJALLAZ, Gaston",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"FONJALLAZ, Gustave",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"FONJALLAZ, Rene",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"GEIER, Oscar",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"JENNY, Charles",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"KLOETTA, Antoine",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Bobsleigh,"STAUFFER, William",SUI,Men,Two-Man,Silver,,
1932,Lake Placid,Skating,"GRAFSTRe_M, Gillis",SWE,Men,Individual,Silver,,
1932,Lake Placid,Skiing,"WIKSTRe_M, Axel",SWE,Men,18KM,Silver,,
1932,Lake Placid,Bobsleigh,"ASHFORTH, Albert",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"BRYANT, Precy D.",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"GOODRICH, Hunter",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"HACKNEY, Clement",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"HOMBURGER, Henry A.",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"HORTON, Edmund C",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"LIPSON, Howard S",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"MARTIN, Harry G",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"STEVENS, Curtis",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Bobsleigh,"STEVENS, Francis Paul",USA,Men,Four-Man,Silver,,
1932,Lake Placid,Ice Hockey,"ANDERSON, Osborn",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"BENT, John Peale",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"CHASE, John Pierce",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"COOKMAN, John Emery",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"EVERETT, Douglas Newton",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"FARRELL, Franklin",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"FITZGERALD, Joseph",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"FRAZIER, Edward Hartwell",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"GARRISON, John Bright",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"HALLOCK, Gerard",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"LIVINGSTON, Robert Cambridge",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"NELSON, Francis Augustus",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"PALMER, Winthrop Hale",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Ice Hockey,"SMITH, Gordon",USA,Men,Ice Hockey,Silver,,
1932,Lake Placid,Skating,"BADGER, Sherwin",USA,Men,Pairs,Silver,,
1932,Lake Placid,Skating,"LOUGHRAN, Beatrix",USA,Women,Pairs,Silver,,
1932,Lake Placid,Skating,"MURPHY, Edward",USA,Men,5000M,Silver,,
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Erik",AUT,Men,Pairs,Silver,,
1936,Garmisch Partenkirchen,Skating,"PAUSIN, Ilse",AUT,Women,Pairs,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"DEACON, Maxwell Arnold",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"FARGUHARSON, Hugh",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"FARMER-HORN, Kenneth",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"HAGGARTY, James",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"KITCHEN, Walter",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"MILTON, Raymond",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"MOORE, Francis",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"MURRAY, Herman",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"NASH, Arthur",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"NEVILLE, David John",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"SINCLAIR, Alexander",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"ST.GERMAIN, Ralph",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Ice Hockey,"THOMSON, William",CAN,Men,Ice Hockey,Silver,,
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,10000M,Silver,,
1936,Garmisch Partenkirchen,Skating,"WASENIUS, Birger",FIN,Men,5000M,Silver,,
1936,Garmisch Partenkirchen,Skating,"COLLEDGE, Cecilia",GBR,Women,Individual,Silver,,
1936,Garmisch Partenkirchen,Skating,"BAIER, Ernst",GER,Men,Individual,Silver,,
1936,Garmisch Partenkirchen,Skiing,"LANTSCHNER, Gustav",GER,Men,Alpine Combined,Silver,,
1936,Garmisch Partenkirchen,Skiing,"GRASEGGER, Ke_the",GER,Women,Alpine Combined,Silver,,
1936,Garmisch Partenkirchen,Skating,"BALLANGRUD, Ivar",NOR,Men,1500M,Silver,,
1936,Garmisch Partenkirchen,Skating,"KROG, Georg",NOR,Men,500M,Silver,,
1936,Garmisch Partenkirchen,Skiing,"HAGEN, Oddbjorn",NOR,Men,18KM,Silver,,
1936,Garmisch Partenkirchen,Skiing,"BRODAHL, Sverre",NOR,Men,4X10KM Relay,Silver,,
1936,Garmisch Partenkirchen,Skiing,"HAGEN, Oddbjorn",NOR,Men,4X10KM Relay,Silver,,
1936,Garmisch Partenkirchen,Skiing,"HOFFSBAKKEN, Olaf",NOR,Men,4X10KM Relay,Silver,,
1936,Garmisch Partenkirchen,Skiing,"IVERSEN, Bjarne",NOR,Men,4X10KM Relay,Silver,,
1936,Garmisch Partenkirchen,Skiing,"HOFFSBAKKEN, Olaf",NOR,Men,Individual,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"AICHELE, Hans",SUI,Men,Four-Man,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"BeeTIKOFER, Hans",SUI,Men,Four-Man,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"CAPADRUTT, Reto",SUI,Men,Four-Man,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"FEIERABEND, Fritz",SUI,Men,Four-Man,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"BEERLI, Joseph",SUI,Men,Two-Man,Silver,,
1936,Garmisch Partenkirchen,Bobsleigh,"FEIERABEND, Fritz",SUI,Men,Two-Man,Silver,,
1936,Garmisch Partenkirchen,Skiing,"WIKSTRe_M, Axel",SWE,Men,50KM,Silver,,
1936,Garmisch Partenkirchen,Skiing,"ERIKSSON, Sven",SWE,Men,K90 Individual (70M),Silver,,
1948,St.Moritz,Skating,"PAWLIK, Eva",AUT,Women,Individual,Silver,,
1948,St.Moritz,Skiing,"GABL, Franz",AUT,Men,Downhill,Silver,,
1948,St.Moritz,Skiing,"BEISER-JOCHUM, Trude",AUT,Women,Downhill,Silver,,
1948,St.Moritz,Bobsleigh,"HOUBEN, Max",BEL,Men,Four-Man,Silver,,
1948,St.Moritz,Bobsleigh,"MANSVELD, Freddy",BEL,Men,Four-Man,Silver,,
1948,St.Moritz,Bobsleigh,"MOUVET, Jacques",BEL,Men,Four-Man,Silver,,
1948,St.Moritz,Bobsleigh,"NIELS, Louis-Georges",BEL,Men,Four-Man,Silver,,
1948,St.Moritz,Skating,"PARKKINEN, Lauri",FIN,Men,10000M,Silver,,
1948,St.Moritz,Skiing,"KIURU, August",FIN,Men,4X10KM Relay,Silver,,
1948,St.Moritz,Skiing,"LAUKKANEN, Teuvo",FIN,Men,4X10KM Relay,Silver,,
1948,St.Moritz,Skiing,"RYTKY, Sauli",FIN,Men,4X10KM Relay,Silver,,
1948,St.Moritz,Skiing,"SILVENNOINEN, Lauri",FIN,Men,4X10KM Relay,Silver,,
1948,St.Moritz,Skiing,"HUHTALA, Martti",FIN,Men,Individual,Silver,,
1948,St.Moritz,Skiing,"COUTTET, James",FRA,Men,Slalom,Silver,,
1948,St.Moritz,Skating,"KEKESSY, Andrea",HUN,Women,Pairs,Silver,,
1948,St.Moritz,Skating,"KIRALY, Ede",HUN,Men,Pairs,Silver,,
1948,St.Moritz,Skating,"LUNDBERG, Odd",NOR,Men,5000M,Silver,,
1948,St.Moritz,Skating,"BYBERG, Thomas",NOR,Men,500M,Silver,,
1948,St.Moritz,Skiing,"RUUD, Birger",NOR,Men,K90 Individual (70M),Silver,,
1948,St.Moritz,Bobsleigh,"EBERHARD, Paul Hans",SUI,Men,Two-Man,Silver,,
1948,St.Moritz,Bobsleigh,"FEIERABEND, Fritz",SUI,Men,Two-Man,Silver,,
1948,St.Moritz,Skating,"GERSCHWILER, Hans",SUI,Men,Individual,Silver,,
1948,St.Moritz,Skiing,"MOLITOR, Karl",SUI,Men,Alpine Combined,Silver,,
1948,St.Moritz,Skiing,"MEYER, Antoinette",SUI,Women,Slalom,Silver,,
1948,St.Moritz,Skating,"SEYFFARTH, Ake",SWE,Men,1500M,Silver,,
1948,St.Moritz,Skiing,"e_STENSSON, Nils",SWE,Men,18KM,Silver,,
1948,St.Moritz,Skiing,"ERIKSSON, Harald",SWE,Men,50KM,Silver,,
1948,St.Moritz,Ice Hockey,"BOUZEK, Vladimir",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"BUBNIK, Gustav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"DROBNY, Jaroslav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"HAJNY, Premysl",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"JARKOVSKY, Zdenek",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"KOBRANOV, Vladimir",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"KONOPASEK, Stanislav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"MODRY, Bohumil",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"POKORNY, Miloslav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"ROZINAK, Vaclav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"SLAMA, Miroslav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"STIBOR, Karel",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"STOVIK, Vilibald",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"TROJAK, Ladislav",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"TROUSILEK, Josef",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"ZABRODSKY, Oldrich",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Ice Hockey,"ZABRODSKY, Vladimir",TCH,Men,Ice Hockey,Silver,,
1948,St.Moritz,Bobsleigh,"HEATON, John",USA,Men,Individual,Silver,,
1948,St.Moritz,Skating,"BARTHELOMEW, Kenneth",USA,Men,500M,Silver,,
1948,St.Moritz,Skating,"FITZGERALD, Robert",USA,Men,500M,Silver,,
1948,St.Moritz,Skiing,"FRASER, Gretchen",USA,Women,Alpine Combined,Silver,,
1952,Oslo,Skating,"SEIBT, Hellmut",AUT,Men,Individual,Silver,,
1952,Oslo,Skiing,"SCHNEIDER, Othmar",AUT,Men,Downhill,Silver,,
1952,Oslo,Skiing,"PRAVDA, Christian",AUT,Men,Giant Slalom,Silver,,
1952,Oslo,Skiing,"ROM, Dagmar",AUT,Women,Giant Slalom,Silver,,
1952,Oslo,Skiing,"HIETAMIES, Mirja",FIN,Women,10KM,Silver,,
1952,Oslo,Skiing,"MeKELe, Tapio",FIN,Men,18KM,Silver,,
1952,Oslo,Skiing,"KOLEHMAINEN, Eero",FIN,Men,50KM,Silver,,
1952,Oslo,Skiing,"HASU, Heikki",FIN,Men,Individual,Silver,,
1952,Oslo,Skiing,"BUCHNER, Mirl",FRG,Women,Downhill,Silver,,
1952,Oslo,Skiing,"REICHERT, Ossi",FRG,Women,Slalom,Silver,,
1952,Oslo,Skating,"BROEKMAN, Cornelis",NED,Men,10000M,Silver,,
1952,Oslo,Skating,"VAN DER VOORT, Willem",NED,Men,1500M,Silver,,
1952,Oslo,Skating,"BROEKMAN, Cornelis",NED,Men,5000M,Silver,,
1952,Oslo,Skiing,"ERIKSEN, Stein",NOR,Men,Slalom,Silver,,
1952,Oslo,Skiing,"BRENDEN, Hallgeir",NOR,Men,4X10KM Relay,Silver,,
1952,Oslo,Skiing,"ESTENSTAD, Magnar",NOR,Men,4X10KM Relay,Silver,,
1952,Oslo,Skiing,"KIRKHOLT, Mikal",NOR,Men,4X10KM Relay,Silver,,
1952,Oslo,Skiing,"STOKKEN, Martin",NOR,Men,4X10KM Relay,Silver,,
1952,Oslo,Skiing,"FALKANGER, Torbjorn",NOR,Men,K90 Individual (70M),Silver,,
1952,Oslo,Bobsleigh,"ATKINSON, James Neil",USA,Men,Four-Man,Silver,,
1952,Oslo,Bobsleigh,"BENHAM, Stanley Delong",USA,Men,Four-Man,Silver,,
1952,Oslo,Bobsleigh,"CROSSETT, Howard Wallace",USA,Men,Four-Man,Silver,,
1952,Oslo,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Four-Man,Silver,,
1952,Oslo,Bobsleigh,"BENHAM, Stanley Delong",USA,Men,Two-Man,Silver,,
1952,Oslo,Bobsleigh,"MARTIN, Patrick Henry",USA,Men,Two-Man,Silver,,
1952,Oslo,Ice Hockey,"BJORKMAN, Ruben Eugene",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"CEGLARSKI, Leonard Stanley",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"CZARNOTA, Joseph John",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"DESMOND, Richard Joseph",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"GAMBUCCI, Andre Peter",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"HARRISON, Clifford",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"KILMARTIN, Gerald Walsh",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"MULHERN, John Francis",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"NOAH, John Michael",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"OSS, Arnold Carl",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"ROMPRE, Robert Edward",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"SEDIN, James Walter",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"VAN ALLEN, Alfred",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"WHISTON, Donald Francis",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Ice Hockey,"YACKEL, Kenneth James",USA,Men,Ice Hockey,Silver,,
1952,Oslo,Skating,"ALBRIGHT, Tenley",USA,Women,Individual,Silver,,
1952,Oslo,Skating,"KENNEDY, Karol",USA,Women,Pairs,Silver,,
1952,Oslo,Skating,"KENNEDY, Michael",USA,Men,Pairs,Silver,,
1952,Oslo,Skating,"MCDERMOTT, Donald",USA,Men,500M,Silver,,
1956,Cortina d'Ampezzo,Skiing,"MOLTERER, Andreas",AUT,Men,Giant Slalom,Silver,,
1956,Cortina d'Ampezzo,Skiing,"FRANDL, Josefine",AUT,Women,Giant Slalom,Silver,,
1956,Cortina d'Ampezzo,Skiing,"SCHe_PF, Regina",AUT,Women,Slalom,Silver,,
1956,Cortina d'Ampezzo,Skating,"BOWDEN, Norris",CAN,Men,Pairs,Silver,,
1956,Cortina d'Ampezzo,Skating,"DAFOE, Frances",CAN,Women,Pairs,Silver,,
1956,Cortina d'Ampezzo,Skiing,"HAKULINEN, Veikko",FIN,Men,4X10KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"KIURU, August",FIN,Men,4X10KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"KORTELAINEN, Jorma",FIN,Men,4X10KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"VIITANEN, Arvo",FIN,Men,4X10KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"HAKULINEN, Veikko",FIN,Men,50KM,Silver,,
1956,Cortina d'Ampezzo,Skiing,"KALLAKORPI, Aulis",FIN,Men,K90 Individual (70M),Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"ALVERA, Renzo",ITA,Men,Four-Man,Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"GIRARDI, Ulrico",ITA,Men,Four-Man,Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"MOCELLINI, Renato",ITA,Men,Four-Man,Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"MONTI, Eugenio",ITA,Men,Four-Man,Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"ALVERA, Renzo",ITA,Men,Two-Man,Silver,,
1956,Cortina d'Ampezzo,Bobsleigh,"MONTI, Eugenio",ITA,Men,Two-Man,Silver,,
1956,Cortina d'Ampezzo,Skiing,"IGAYA, Chiharu",JPN,Men,Slalom,Silver,,
1956,Cortina d'Ampezzo,Skating,"JOHANNESEN, Knut",NOR,Men,10000M,Silver,,
1956,Cortina d'Ampezzo,Skiing,"FELLAY, Raymond",SUI,Men,Downhill,Silver,,
1956,Cortina d'Ampezzo,Skiing,"DeNZER, Frieda",SUI,Women,Downhill,Silver,,
1956,Cortina d'Ampezzo,Skating,"ERICSSON, Sigvard",SWE,Men,5000M,Silver,,
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,15KM,Silver,,
1956,Cortina d'Ampezzo,Skiing,"JERNBERG, Sixten",SWE,Men,30KM Mass Start,Silver,,
1956,Cortina d'Ampezzo,Skiing,"ERIKSSON, Bengt",SWE,Men,Individual,Silver,,
1956,Cortina d'Ampezzo,Skating,"GRACH, Rafael",URS,Men,500M,Silver,,
1956,Cortina d'Ampezzo,Skiing,"YEROSHINA, Radya",URS,Women,10KM,Silver,,
1956,Cortina d'Ampezzo,Skiing,"BARANOVA, Lyubov",URS,Women,3X5KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"KOLCHINA, Alevtina",URS,Women,3X5KM Relay,Silver,,
1956,Cortina d'Ampezzo,Skiing,"YEROSHINA, Radya",URS,Women,3X5KM Relay,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"ANDERSON, Wendell Richard",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"BURTNETT, Wellington Parker",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"CAMPBELL, Eugene Edward",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"CHRISTIAN, Gordon Eugene",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"CLEARY, William John",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"DOUGHERTY, Richard Leo",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"IKOLA, Willard John",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"MATCHEFTS, John Peter",USA,Men,Ice Hockey,Silver,,
1956,Cortina d'Ampezzo,Ice Hockey,"MAYASICH, John Edward",USA,Men,Ice Hockey,Silver,,
